retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Temp,Humidity
-10.57142857,3,25,-20.71428571,-15.85714286,6.857142857,12.87142857,51.57142857
-10.14285714,4.428571429,27.28571429,-20.57142857,-16,6.714285714,12.6,50.57142857
-11.14285714,7.428571429,29,-21.14285714,-16.28571429,7,12.37142857,48.42857143
-11.85714286,9,24.28571429,-18.42857143,-9,5.285714286,12.61428571,51.42857143
-16.57142857,7.571428571,14.42857143,-22,-10.28571429,6.571428571,12.85714286,57
-23.71428571,2.428571429,-2.285714286,-27.42857143,-13.42857143,8.285714286,10.97142857,63.71428571
-25.28571429,3.714285714,-4.571428571,-29.14285714,-14.85714286,9,10.58571429,65.57142857
-27.42857143,4,-7.714285714,-30.71428571,-15.85714286,9.571428571,10.81428571,70.57142857
-32,0.142857143,-19.28571429,-33.14285714,-17.57142857,10.85714286,11.01428571,78
-34.57142857,-2.428571429,-23.28571429,-35.28571429,-19.14285714,11.71428571,11.14285714,77.28571429
-36,-3,-23.28571429,-36.42857143,-20.14285714,12.28571429,10.65714286,74.57142857
-35.42857143,-1.428571429,-18.28571429,-36.71428571,-21,12.28571429,10.68571429,71.57142857
-33.57142857,2.571428571,-13.14285714,-36.57142857,-21,12,11.62857143,68.28571429
-34.28571429,3,-10.71428571,-37.28571429,-21.85714286,12.28571429,12.27142857,64.14285714
-35.57142857,2.857142857,-9.714285714,-38.85714286,-23.42857143,13,12.64285714,60
-36.57142857,4.571428571,-2.857142857,-41,-25.57142857,13.71428571,13.05714286,54.71428571
-39.28571429,3.142857143,-3.428571429,-43.42857143,-28,15,12.97142857,57.14285714
-41.85714286,2.285714286,-5.428571429,-46,-30.42857143,16.28571429,12.74285714,57
-43.28571429,1.714285714,-6.857142857,-47.57142857,-32.14285714,16.85714286,12.12857143,55
-44.57142857,0.857142857,-7,-48.71428571,-33.71428571,17.28571429,12.14285714,56.57142857
-49.71428571,-5.714285714,-16.71428571,-52.14285714,-36.71428571,19.14285714,11.55714286,64.28571429
-51.85714286,-5.285714286,-16.57142857,-54.42857143,-39.14285714,20.28571429,11.34285714,64.85714286
-52.42857143,-4.428571429,-15.57142857,-55.42857143,-40.57142857,21,11.27142857,63.14285714
-53.14285714,-4.142857143,-15.85714286,-56.42857143,-41.71428571,21.42857143,11.04285714,63.71428571
-53.85714286,-3.571428571,-15.57142857,-57.28571429,-42.71428571,21.85714286,11.21428571,65.57142857
-56.71428571,-8,-24.14285714,-58.85714286,-43.71428571,22.57142857,11.42857143,72.42857143
-56,-6.285714286,-18,-58.14285714,-43.42857143,22.28571429,12.05714286,69.57142857
-55.71428571,-4.428571429,-17,-58.42857143,-43.85714286,22.28571429,12.3,69.14285714
-56.57142857,-5.285714286,-16.71428571,-58.71428571,-44.28571429,22.42857143,12.77142857,73.14285714
-57.71428571,-7,-19.85714286,-59.42857143,-44.71428571,22.71428571,12.72857143,75.57142857
-58.28571429,-7.571428571,-20.14285714,-59.71428571,-45,22.85714286,12.75714286,74.14285714
-58.85714286,-9,-21.14285714,-59.71428571,-45,23,12.72857143,73.14285714
-57,-5.857142857,-14.28571429,-58.28571429,-44.28571429,22.42857143,12.7,68.14285714
-58,-7.714285714,-17.57142857,-58.85714286,-44.71428571,22.71428571,13.21428571,66.42857143
-57.42857143,-7.142857143,-14.42857143,-58.71428571,-44.71428571,22.71428571,13.65714286,64.14285714
-57.42857143,-7.857142857,-17.14285714,-58.71428571,-44.71428571,22.71428571,13.38571429,64.57142857
-57.42857143,-8.142857143,-13.71428571,-60.85714286,-49,23.71428571,13.61428571,65.14285714
-57.14285714,-7.571428571,-12.85714286,-60.71428571,-49.28571429,23.85714286,14.48571429,66.57142857
-57.14285714,-7.428571429,-11.57142857,-61,-50,24,15.58571429,68.28571429
-57.42857143,-7.428571429,-11,-61.28571429,-50.28571429,24.14285714,16.71428571,70
-57.28571429,-7,-10.57142857,-61.14285714,-50.42857143,24.14285714,17.05714286,72.57142857
-57.42857143,-6.714285714,-8.142857143,-63.85714286,-55.28571429,25.71428571,17.98571429,73.85714286
-58,-7.571428571,-4.857142857,-66.57142857,-60.14285714,27.42857143,19.27142857,72.14285714
-59.57142857,-10.14285714,-13.14285714,-67.28571429,-60.42857143,28.14285714,19.37142857,75.14285714
-59.42857143,-10.14285714,-13.57142857,-66.42857143,-59.28571429,27.57142857,19.15714286,74.42857143
-59.14285714,-10.14285714,-13.57142857,-65.71428571,-58.14285714,27.14285714,18.7,71.71428571
-58.28571429,-9.857142857,-14.28571429,-64.85714286,-57,26.85714286,18.37142857,70.42857143
-57.57142857,-9.714285714,-15.71428571,-64.28571429,-56.14285714,26.71428571,18.48571429,72.14285714
-56.71428571,-8.428571429,-14,-60.57142857,-50.42857143,24.57142857,19,71.14285714
-56.14285714,-7.571428571,-15.42857143,-57.42857143,-45.14285714,22.71428571,19.05714286,71.42857143
-54,-4.428571429,-9.285714286,-54,-40,20.71428571,19.98571429,66.42857143
-54,-5,-8.857142857,-54.28571429,-40.28571429,20.85714286,20.6,63.42857143
-53.85714286,-4.857142857,-9.285714286,-54.14285714,-40.28571429,20.85714286,21.28571429,64
