retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Temp,Humidity
-1.571428571,1.285714286,-1.857142857,-2.857142857,0.285714286,0.714285714,9.528571429,64.71428571
-2.142857143,0.857142857,-4.285714286,-3.428571429,-0.428571429,1,9.542857143,66.28571429
-0.714285714,2.142857143,3,-1.714285714,-0.142857143,0.714285714,9.7,58.28571429
2.142857143,2.571428571,11.42857143,-5.428571429,-8,2.571428571,9.628571429,53.14285714
2,3.285714286,11.28571429,-5.428571429,-7.857142857,2.571428571,10.04285714,55.42857143
1.428571429,3.428571429,9.428571429,-5.714285714,-7.714285714,2.714285714,10.04285714,61.71428571
0.857142857,3.714285714,8.285714286,-6.285714286,-7.714285714,2.857142857,9.757142857,60.42857143
0.714285714,5.428571429,6.714285714,-7.428571429,-7.571428571,3,9.328571429,58.14285714
0,6.571428571,5,-10,-7,3.285714286,8.885714286,56.28571429
-1.571428571,7.428571429,2.571428571,-13.57142857,-6.857142857,3.857142857,9.114285714,60.57142857
-5.571428571,7.285714286,-7.285714286,-11.85714286,0.714285714,2.428571429,8.757142857,66.85714286
-5.857142857,7.571428571,-5.714285714,-13.71428571,0.285714286,2.857142857,8.871428571,66.71428571
-7,6.857142857,-8,-15.71428571,-0.428571429,3.428571429,8.985714286,66.28571429
-7.857142857,6.428571429,-8.571428571,-17.28571429,-1,3.857142857,9.3,66.85714286
-8.857142857,4.714285714,-7.285714286,-18.42857143,-1.714285714,4.285714286,9.642857143,64.71428571
-9.142857143,3.714285714,-5.285714286,-18.85714286,-2.714285714,4.428571429,9.342857143,65.28571429
-10.14285714,1.857142857,-10.14285714,-20,-3.571428571,4.714285714,8.657142857,69.42857143
-9.714285714,1.714285714,-6.428571429,-20,-3.714285714,4.714285714,9.485714286,67.28571429
-10.71428571,0,-12,-20.42857143,-4.142857143,5,9.971428571,72.71428571
-9.428571429,0.857142857,-7.142857143,-20,-4.142857143,4.714285714,10.88571429,68.85714286
-8.571428571,1.142857143,-3.714285714,-19.57142857,-4.142857143,4.571428571,11.2,68.14285714
-8,1.285714286,-3,-19.42857143,-4.142857143,4.571428571,11.64285714,72.28571429
